$id$|$scode$|$sname$|$sname_full$|$stype_oilproduct$|$productasvcode$|$createdate$
$1$|$000025110013$|$Бензин-отгон ГО/ДП ДТ$|$Бензин-отгон установки ГО/ДП ДТ-компонент товарных бензинов$|$PFAB$|$25110013$|$2020-11-24 15:26:13.7333333$
$2$|$000025110014$|$Фракция НК-70 оС УГК$|$Фракция НК-70 оС УГК – компонент товарных бензинов и сырьё установки Изомалк-2$|$PFAB$|$25110014$|$2020-11-24 15:26:13.7333333$
$3$|$000025341643$|$Масло И-50А 1000 л$|$Масло индустриальное И-50А, затаренное в контейнер кубовый среднетоннажный 1000л$|$NPR$|$25341643$|$2020-11-24 15:26:13.7333333$
$4$|$000025400004$|$Смазка Kluberbio M 72-82, кг$|$Смазка Kluberbio M 72-82, кг$|$REAG$|$25400004$|$2020-11-24 15:26:13.7333333$
$5$|$000025411184$|$Grease Multifak EP 2 15 kg_SH$|$Grease Multifak EP 2 15 kg (canister 15 kg)_SH$|$NPR$|$25411184$|$2020-11-24 15:26:13.7333333$
$6$|$000025510022$|$Гач смесевой$|$Гач смесевой$|$PFAB$|$25510022$|$2020-11-24 15:26:13.7333333$
$7$|$000131000002$|$Вода хоз. питьевая$|$Вода хозяйственная питьевая$|$REAG$|$131000002$|$2020-11-24 15:26:13.7333333$
$8$|$000131000003$|$Вода питьевая$|$Вода питьевая$|$PFAB$|$131000003$|$2020-11-24 15:26:13.7333333$
$9$|$000132000001$|$Вода техническ.$|$Вода техническ.$|$REAG$|$132000001$|$2020-11-24 15:26:13.7333333$
$10$|$000132000002$|$Деминерализованная вода$|$Деминерализованная вода (на реакцию)$|$REAG$|$132000002$|$2020-11-24 15:26:13.7333333$
$11$|$000132000003$|$Вода кислая С-100, 200, 300 УГК$|$Вода кислая С-100, 200, 300 УГК$|$PFAB$|$132000003$|$2020-11-24 15:26:13.7333333$
$12$|$000132000004$|$Вода кислая С-700 УГК$|$Вода кислая С-700 УГК$|$PFAB$|$132000004$|$2020-11-24 15:26:13.7333333$
$13$|$000132000005$|$Вода кислая УПС$|$Вода кислая УПС$|$PFAB$|$132000005$|$2020-11-24 15:26:13.7333333$
